cycle2> end of cycle       71 new min=       0 new ts=       0 total min=     400 total ts=    2384
cycle2> end of cycle       72 new min=       0 new ts=       0 total min=     400 total ts=    2384
cycle2> end of cycle       73 new min=       0 new ts=       0 total min=     400 total ts=    2384
cycle2> end of cycle       74 new min=       0 new ts=       0 total min=     400 total ts=    2384
cycle2> end of cycle       75 new min=       0 new ts=       0 total min=     400 total ts=    2384
cycle2> end of cycle       76 new min=       0 new ts=       1 total min=     400 total ts=    2385
cycle2> end of cycle       77 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       78 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       79 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       80 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       81 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       82 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       83 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       84 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       85 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       86 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       87 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       88 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       89 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       90 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       91 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       92 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       93 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       94 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       95 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       96 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       97 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       98 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle       99 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      100 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      101 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      102 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      103 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      104 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      105 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      106 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      107 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      108 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      109 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      110 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      111 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      112 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      113 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      114 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      115 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      116 new min=       0 new ts=       0 total min=     400 total ts=    2385
cycle2> end of cycle      117 new min=       0 new ts=       1 total min=     400 total ts=    2386
cycle2> end of cycle      118 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      119 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      120 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      121 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      122 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      123 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      124 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      125 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      126 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      127 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      128 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      129 new min=       0 new ts=       0 total min=     400 total ts=    2386
cycle2> end of cycle      130 new min=       0 new ts=       1 total min=     400 total ts=    2387
cycle2> end of cycle      131 new min=       0 new ts=       0 total min=     400 total ts=    2387
cycle2> end of cycle      132 new min=       0 new ts=       0 total min=     400 total ts=    2387
cycle2> end of cycle      133 new min=       0 new ts=       1 total min=     400 total ts=    2388
cycle2> end of cycle      134 new min=       0 new ts=       0 total min=     400 total ts=    2388
cycle2> end of cycle      135 new min=       0 new ts=       0 total min=     400 total ts=    2388
cycle2> end of cycle      136 new min=       0 new ts=       0 total min=     400 total ts=    2388
cycle2> end of cycle      137 new min=       0 new ts=       2 total min=     400 total ts=    2390
cycle2> end of cycle      138 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      139 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      140 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      141 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      142 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      143 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      144 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      145 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      146 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      147 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      148 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      149 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      150 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      151 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      152 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      153 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      154 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      155 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      156 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      157 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      158 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      159 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      160 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      161 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      162 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      163 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      164 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      165 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      166 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      167 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      168 new min=       0 new ts=       0 total min=     400 total ts=    2390
cycle2> end of cycle      169 new min=       0 new ts=       1 total min=     400 total ts=    2391
cycle2> end of cycle      170 new min=       0 new ts=       0 total min=     400 total ts=    2391
cycle2> end of cycle      171 new min=       0 new ts=       0 total min=     400 total ts=    2391
cycle2> end of cycle      172 new min=       0 new ts=       0 total min=     400 total ts=    2391
cycle2> end of cycle      173 new min=       0 new ts=       0 total min=     400 total ts=    2391
cycle2> end of cycle      174 new min=       0 new ts=       0 total min=     400 total ts=    2391
cycle2> end of cycle      175 new min=       0 new ts=       1 total min=     400 total ts=    2392
cycle2> end of cycle      176 new min=       0 new ts=       1 total min=     400 total ts=    2393
cycle2> end of cycle      177 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      178 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      179 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      180 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      181 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      182 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      183 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      184 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      185 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      186 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      187 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      188 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      189 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      190 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      191 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      192 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      193 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      194 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      195 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      196 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      197 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      198 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      199 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      200 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      201 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      202 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      203 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      204 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      205 new min=       0 new ts=       0 total min=     400 total ts=    2393
cycle2> end of cycle      206 new min=       0 new ts=       1 total min=     400 total ts=    2394
cycle2> end of cycle      207 new min=       0 new ts=       0 total min=     400 total ts=    2394
cycle2> end of cycle      208 new min=       0 new ts=       0 total min=     400 total ts=    2394
cycle2> end of cycle      209 new min=       0 new ts=       0 total min=     400 total ts=    2394
cycle2> end of cycle      210 new min=       0 new ts=       1 total min=     400 total ts=    2395
cycle2> end of cycle      211 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      212 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      213 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      214 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      215 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      216 new min=       0 new ts=       0 total min=     400 total ts=    2395
